Unnamed: 0,Model Year,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,Fuel Efficiency City,Fuel Efficiency Highway,Fuel Efficiency Combined,Engine Group,Efficiency Ratio City,Efficiency Ratio Highway,Efficiency Ratio Combined,Emission Rate CO2 level
103,2022,4,403,12,4.4,8,12,3,16.1,11.0,13.8,20,322,3,3,0.062111801242236,0.0909090909090909,0.072463768115942,4,0.014116318464144545,0.020661157024793386,0.016469038208168637,0.49
104,2022,4,404,2,4.4,8,12,3,16.1,11.0,13.8,20,322,3,3,0.062111801242236,0.0909090909090909,0.072463768115942,4,0.014116318464144545,0.020661157024793386,0.016469038208168637,0.49
105,2022,4,405,2,4.4,8,12,3,16.1,11.0,13.8,20,322,3,3,0.062111801242236,0.0909090909090909,0.072463768115942,4,0.014116318464144545,0.020661157024793386,0.016469038208168637,0.49
106,2022,4,406,12,4.4,8,12,3,13.9,9.6,12.0,24,279,4,3,0.0719424460431654,0.1041666666666666,0.0833333333333333,4,0.016350555918901225,0.023674242424242407,0.01893939393939393,0.66
107,2022,4,407,12,4.4,8,12,3,13.5,9.3,11.6,24,271,4,3,0.074074074074074,0.1075268817204301,0.0862068965517241,4,0.016835016835016817,0.02443792766373411,0.019592476489028204,0.66
108,2022,4,408,2,4.4,8,12,3,13.9,9.6,12.0,24,279,4,3,0.0719424460431654,0.1041666666666666,0.0833333333333333,4,0.016350555918901225,0.023674242424242407,0.01893939393939393,0.66
109,2022,4,673,7,2.0,4,12,3,10.3,7.7,9.1,31,213,5,7,0.0970873786407767,0.1298701298701298,0.1098901098901098,1,0.04854368932038835,0.0649350649350649,0.0549450549450549,0.83
110,2022,4,675,7,2.0,4,12,3,9.9,7.6,8.8,32,207,6,7,0.101010101010101,0.131578947368421,0.1136363636363636,1,0.0505050505050505,0.0657894736842105,0.0568181818181818,1.0
111,2022,4,674,7,2.0,4,12,3,9.9,7.6,8.9,32,207,6,3,0.101010101010101,0.131578947368421,0.1123595505617977,1,0.0505050505050505,0.0657894736842105,0.05617977528089885,1.0
112,2022,4,679,7,2.0,4,12,3,11.0,8.5,9.9,29,230,5,7,0.0909090909090909,0.1176470588235294,0.101010101010101,1,0.04545454545454545,0.0588235294117647,0.0505050505050505,0.83
113,2022,4,676,7,3.0,6,12,3,15.7,11.7,13.9,20,323,3,3,0.0636942675159235,0.0854700854700854,0.0719424460431654,3,0.021231422505307834,0.028490028490028466,0.0239808153477218,0.49
114,2022,4,677,7,3.0,6,12,3,15.7,11.7,13.9,20,323,3,3,0.0636942675159235,0.0854700854700854,0.0719424460431654,3,0.021231422505307834,0.028490028490028466,0.0239808153477218,0.49
115,2022,4,678,7,3.0,6,12,3,11.2,9.1,10.3,27,241,5,5,0.0892857142857142,0.1098901098901098,0.0970873786407767,3,0.029761904761904736,0.036630036630036604,0.032362459546925564,0.83
116,2022,4,683,7,2.0,4,12,3,11.0,8.5,9.9,29,230,5,7,0.0909090909090909,0.1176470588235294,0.101010101010101,1,0.04545454545454545,0.0588235294117647,0.0505050505050505,0.83
117,2022,4,680,7,3.0,6,12,3,15.7,11.7,13.9,20,323,3,3,0.0636942675159235,0.0854700854700854,0.0719424460431654,3,0.021231422505307834,0.028490028490028466,0.0239808153477218,0.49
118,2022,4,681,7,3.0,6,12,3,15.7,11.7,13.9,20,323,3,3,0.0636942675159235,0.0854700854700854,0.0719424460431654,3,0.021231422505307834,0.028490028490028466,0.0239808153477218,0.49
119,2022,4,682,7,3.0,6,12,3,11.2,9.1,10.3,27,241,5,5,0.0892857142857142,0.1098901098901098,0.0970873786407767,3,0.029761904761904736,0.036630036630036604,0.032362459546925564,0.83
120,2022,4,687,8,3.0,6,12,3,11.3,9.2,10.4,27,241,5,3,0.0884955752212389,0.108695652173913,0.0961538461538461,3,0.0294985250737463,0.036231884057971,0.032051282051282035,0.83
121,2022,4,684,8,4.4,8,12,3,17.9,13.0,15.7,18,364,2,3,0.0558659217877095,0.0769230769230769,0.0636942675159235,4,0.012696800406297613,0.017482517482517477,0.014475969889982612,0.32
122,2022,4,685,8,4.4,8,12,3,17.9,13.0,15.7,18,364,2,3,0.0558659217877095,0.0769230769230769,0.0636942675159235,4,0.012696800406297613,0.017482517482517477,0.014475969889982612,0.32
123,2022,4,686,8,4.4,8,12,3,14.4,10.6,12.7,22,302,3,3,0.0694444444444444,0.0943396226415094,0.0787401574803149,4,0.015782828282828273,0.021440823327615773,0.017895490336435203,0.49
124,2022,4,691,8,3.0,6,12,3,11.3,9.2,10.4,27,241,5,3,0.0884955752212389,0.108695652173913,0.0961538461538461,3,0.0294985250737463,0.036231884057971,0.032051282051282035,0.83
125,2022,4,688,8,4.4,8,12,3,17.9,13.0,15.7,18,364,2,3,0.0558659217877095,0.0769230769230769,0.0636942675159235,4,0.012696800406297613,0.017482517482517477,0.014475969889982612,0.32
126,2022,4,689,8,4.4,8,12,3,17.9,13.0,15.7,18,364,2,3,0.0558659217877095,0.0769230769230769,0.0636942675159235,4,0.012696800406297613,0.017482517482517477,0.014475969889982612,0.32
127,2022,4,690,8,4.4,8,12,3,14.4,10.6,12.7,22,302,3,3,0.0694444444444444,0.0943396226415094,0.0787401574803149,4,0.015782828282828273,0.021440823327615773,0.017895490336435203,0.49
